,순위,영화명,개봉일,좌석판매율,좌석점유율,좌석수,매출액,누적매출액,관객수,누적관객수,년도,장르,등급
52,49,굿 다이노,2016-01-07,0.251,0.005,5278490,9756167238,9766629238,1328913,1330183,2016,애니메이션,전체
53,49,셜록: 유령신부,2016-01-02,0.224,0.005,5696507,9992425049,9992425049,1278894,1278894,2016,범죄,12
54,49,동주,2016-02-17,0.209,0.005,5604184,8889077089,8889077089,1172641,1172641,2016,드라마,12
55,49,라이트 아웃,2016-08-24,0.197,0.005,5635533,8893059975,8893059975,1111284,1111284,2016,공포(호러),15
56,49,"고산자, 대동여지도",2016-09-07,0.17,0.005,5706654,7801007258,7801007258,974262,974262,2016,사극,전체
57,49,레전드 오브 타잔,2016-06-29,0.176,0.005,4864865,7196970717,7196970717,858402,858402,2016,액션,12
58,49,스플릿,2016-11-09,0.156,0.005,4835764,6102712539,6102712539,758195,758195,2016,드라마,15
59,49,인페르노,2016-10-19,0.124,0.005,5545139,5656281303,5656281303,689071,689071,2016,미스터리,15
60,49,사냥,2016-06-29,0.128,0.005,5035013,4912658515,4912658515,645922,645922,2016,액션,15
61,49,널 기다리며,2016-03-10,0.113,0.005,5581973,5234303336,5234303336,635235,635235,2016,스릴러,19
62,49,가려진 시간,2016-11-16,0.105,0.005,4857738,3946462400,3946462400,510878,510878,2016,드라마,12
63,49,해어화,2016-04-13,0.096,0.005,5035591,3768200759,3768200759,485695,485695,2016,사극,15
64,49,헌츠맨: 윈터스 워,2016-04-13,0.092,0.005,4834415,3544262706,3544262706,445009,445009,2016,액션,12
65,64,미 비포 유,2016-06-01,0.243,0.004,3877203,7663772990,7663772990,945172,945172,2016,멜로/로맨스,12
66,64,매그니피센트 7,2016-09-14,0.217,0.004,4241127,7633490421,7633490421,921317,921317,2016,액션,15
67,64,좋아해줘,2016-02-17,0.213,0.004,3973573,6572774337,6572774337,848148,848148,2016,멜로/로맨스,12
68,64,브리짓 존스의 베이비,2016-09-28,0.178,0.004,4591583,6678585874,6678585874,820995,820995,2016,코미디,15
69,64,그날의 분위기,2016-01-14,0.144,0.004,4523773,5149571612,5149571612,653287,653287,2016,멜로/로맨스,15
70,64,설리: 허드슨강의 기적,2016-09-28,0.147,0.004,4248593,5234170754,5234170754,627102,627102,2016,드라마,12
71,64,잭 리처: 네버 고 백,2016-11-30,0.155,0.004,3932390,4638072258,4638072258,611097,611097,2016,액션,15
72,64,클로버필드 10번지,2016-04-07,0.079,0.004,4500867,2928428655,2928428655,357736,357736,2016,미스터리,15
73,64,위대한 소원,2016-04-21,0.079,0.004,3886462,2440004213,2440004213,308398,308398,2016,코미디,15
74,73,국가대표 2,2016-08-10,0.24,0.003,2947088,5482232042,5482232042,709929,709929,2016,드라마,12
75,73,메카닉: 리크루트,2016-08-31,0.176,0.003,3123681,4458200800,4458200800,551897,551897,2016,액션,15
76,73,고스트버스터즈,2016-08-25,0.174,0.003,2954882,4116570075,4116570075,515553,515553,2016,액션,12
77,73,"로봇, 소리",2016-01-27,0.129,0.003,3691275,3519595560,3519595560,476665,476665,2016,드라마,12
78,73,나를 잊지 말아요,2016-01-07,0.145,0.003,2921559,3398915000,3409535000,425799,427197,2016,멜로/로맨스,15
79,73,독수리 에디,2016-04-07,0.073,0.003,3065891,1799381120,1799381120,226341,226341,2016,드라마,12
80,79,씽,2016-12-21,0.377,0.002,2816754,8203857789,8203857789,1063175,1063175,2016,애니메이션,전체
81,79,앵그리버드 더 무비,2016-05-19,0.318,0.002,2139514,5218111744,5218111744,680606,680606,2016,애니메이션,전체
82,79,로그 원: 스타워즈 스토리,2016-12-28,0.215,0.002,2769769,5127537094,5127537094,596487,596487,2016,액션,12
83,79,몬스터 호텔 2,2015-12-24,0.285,0.002,1931781,4059258691,11088271276,552334,1515104,2016,애니메이션,전체
84,79,거울나라의 앨리스,2016-09-07,0.187,0.002,2733672,4145733267,4145733267,513202,513202,2016,어드벤처,12
85,79,계춘할망,2016-05-19,0.183,0.002,2629439,3600794348,3600794348,482516,482516,2016,가족,15
86,79,스타워즈: 깨어난 포스,2015-12-17,0.234,0.002,2004768,4204317791,28353796331,470645,3273879,2016,액션,12
87,79,빅쇼트,2016-01-21,0.179,0.002,2491615,3622652707,3622652707,446712,446712,2016,드라마,19
88,79,조선마술사,2015-12-30,0.207,0.002,1947255,3143566733,4650016527,403919,628576,2016,드라마,12
89,79,위자: 저주의 시작,2016-11-09,0.148,0.002,2235279,2637517406,2637517406,331877,331877,2016,공포(호러),12
90,79,비밀은 없다,2016-06-23,0.119,0.002,2103251,2029410239,2029410239,250829,250829,2016,스릴러,19
91,79,닌자터틀 : 어둠의 히어로,2016-06-16,0.114,0.002,2048528,1934052000,1934052000,235207,235207,2016,액션,12
92,79,대배우,2016-03-30,0.067,0.002,2502311,1246200228,1246200228,169984,169984,2016,코미디,12
93,92,아이스 에이지: 지구 대충돌,2016-07-20,0.321,0.001,1720417,4092484600,4092484600,553760,553760,2016,애니메이션,전체
94,92,명탐정 코난: 순흑의 악몽,2016-08-03,0.483,0.001,1052372,3766157500,3766157500,508869,508869,2016,애니메이션,12
95,92,언더 워터,2016-07-13,0.215,0.001,1787308,3111772391,3111772391,384789,384789,2016,공포(호러),15
96,92,아기배달부 스토크,2016-12-07,0.254,0.001,1267594,2436955700,2436955700,322354,322354,2016,애니메이션,전체
97,92,스포트라이트,2016-02-24,0.16,0.001,1873545,2402036255,2402036255,299878,299878,2016,드라마,15
98,92,구스범스,2016-01-14,0.154,0.001,1920494,2221639712,2272577712,297356,305134,2016,액션,12
99,92,포인트 브레이크,2016-01-07,0.18,0.001,1631108,2323707051,2329915051,294320,295096,2016,범죄,15
100,92,앨빈과 슈퍼밴드: 악동 어드벤처,2016-02-04,0.266,0.001,1098583,2125772200,2125772200,292495,292495,2016,애니메이션,전체
101,92,혼숨,2016-10-26,0.156,0.001,1845519,2258422445,2258422445,288016,288016,2016,공포(호러),15
102,92,극장판 안녕 자두야,2016-05-04,0.267,0.001,1047029,2137638000,2137638000,280406,280406,2016,애니메이션,전체
103,92,순정,2016-02-24,0.154,0.001,1559043,1738293033,1738293033,240484,240484,2016,드라마,12
104,92,남과 여,2016-02-25,0.152,0.001,1339709,1651122533,1651122533,203775,203775,2016,멜로/로맨스,19
105,92,부활,2016-03-17,0.144,0.001,1216969,1247191600,1247191600,176122,176122,2016,드라마,12
106,92,부활,2016-03-17,0.144,0.001,1216969,1247191600,1247191600,176122,176122,2016,다큐멘터리,전체
107,92,조이,2016-03-10,0.09,0.001,1898810,1378007200,1378007200,172253,172253,2016,코미디,12
108,92,미스컨덕트,2016-03-30,0.083,0.001,1780572,1138175038,1138175038,149095,149095,2016,범죄,15
109,92,13시간,2016-03-03,0.103,0.001,1405121,1170500514,1170500514,145952,145952,2016,액션,15
110,92,다이버전트 시리즈: 얼리전트,2016-05-12,0.101,0.001,1016500,818897545,818897545,103556,103556,2016,액션,12
111,92,바스티유 데이,2016-10-13,0.061,0.001,1565617,766892600,766892600,96579,96579,2016,액션,15
112,92,걷기왕,2016-10-20,0.07,0.001,1347679,710905075,710905075,95542,95542,2016,드라마,12
113,92,로스트 인 더스트,2016-11-03,0.08,0.001,1004405,633772822,633772822,81236,81236,2016,범죄,15
114,92,오 마이 그랜파,2016-03-17,0.059,0.001,1342486,632806532,632806532,79701,79701,2016,코미디,19
115,92,어카운턴트,2016-10-13,0.069,0.001,999740,548544928,548544928,69529,69529,2016,액션,15
116,114,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,0.396,0.0,833712,2467275080,2467275080,330725,330725,2016,애니메이션,전체
117,114,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,0.371,0.0,589761,1666637400,1666637400,219047,219047,2016,애니메이션,전체
118,114,원피스 필름 골드,2016-12-08,0.245,0.0,877597,1700502100,1700502100,215546,215546,2016,애니메이션,12
119,114,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,0.24,0.0,843596,1472866700,1472866700,202538,202538,2016,애니메이션,전체
120,114,대호,2015-12-16,0.271,0.0,658430,1385096300,13489904632,178574,1762742,2016,사극,12
121,114,달빛궁궐,2016-09-07,0.203,0.0,752435,1147863700,1147863700,153097,153097,2016,애니메이션,전체
122,114,극장판 아이엠스타 : 꿈의 오디션!,2016-02-11,0.265,0.0,533261,1048246100,1048246100,141351,141351,2016,애니메이션,전체
123,114,제 5침공,2016-02-25,0.192,0.0,706343,1041049900,1041049900,135874,135874,2016,액션,12
124,114,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,0.174,0.0,775487,905899900,905899900,135398,135398,2016,애니메이션,전체
125,114,마이 리틀 자이언트,2016-08-10,0.284,0.0,442931,991375900,991375900,125800,125800,2016,어드벤처,전체
126,114,최강전사 미니특공대: 영웅의 탄생,2016-02-04,0.2,0.0,584694,877875200,877875200,117170,117170,2016,애니메이션,전체
127,114,피터와 드래곤,2016-09-28,0.153,0.0,709602,865600600,865600600,109137,109137,2016,어드벤처,전체
128,114,킹 오브 프리즘 (바이 프리티 리듬),2016-08-11,0.246,0.0,421948,859771500,859771500,103852,103852,2016,애니메이션,12
129,114,무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,0.12,0.0,808918,784148500,784148500,97804,97804,2016,공포(호러),15
130,114,일사각오,2016-03-17,0.25,0.0,379018,682581500,682581500,94767,94767,2016,드라마,12
131,114,루돌프와 많이있어,2016-12-28,0.391,0.0,228630,682883600,682883600,89510,89510,2016,애니메이션,전체
132,114,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,0.267,0.0,322469,628234300,2156275800,86193,300477,2016,애니메이션,전체
133,114,엽기적인 그녀 2,2016-05-12,0.1,0.0,769058,594260900,594260900,77124,77124,2016,멜로/로맨스,15
134,114,하이큐!! 끝과 시작,2016-11-16,0.155,0.0,487511,544846000,544846000,75704,75704,2016,애니메이션,12
135,114,라스트 위치 헌터,2015-12-30,0.198,0.0,364805,589730800,934949800,72481,122039,2016,액션,15
136,114,언더월드: 블러드 워,2016-11-30,0.103,0.0,695508,567567100,567567100,72071,72071,2016,액션,15
137,114,번개맨,2016-02-11,0.111,0.0,624148,517127000,517127000,69363,69363,2016,판타지,전체
138,114,이퀄스,2016-08-31,0.076,0.0,901699,519972300,519972300,68902,68902,2016,드라마,15
139,114,스티브 잡스,2016-01-21,0.078,0.0,879863,535351276,535351276,68815,68815,2016,드라마,12
140,114,아이엠스타 뮤직어워드,2016-09-14,0.159,0.0,420904,455696500,455696500,67027,67027,2016,애니메이션,전체
141,114,올레,2016-08-25,0.102,0.0,649527,522938900,522938900,66883,66883,2016,드라마,15
142,114,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,2016-11-03,0.125,0.0,513105,503900800,503900800,64622,64622,2016,액션,전체
143,114,두 남자,2016-11-30,0.067,0.0,890188,459566121,459566121,60365,60365,2016,범죄,19
144,114,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,0.227,0.0,259722,453920100,453920100,59147,59147,2016,애니메이션,전체
145,114,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,0.161,0.0,351060,410560600,410560600,56842,56842,2016,애니메이션,전체
146,114,빅뱅 메이드,2016-06-30,0.196,0.0,282545,466486700,466486700,55582,55582,2016,다큐멘터리,12
147,114,파라노말 액티비티: 더 고스트 디멘션,2016-04-21,0.066,0.0,824345,454055200,454055200,54972,54972,2016,미스터리,15
148,114,잡아야 산다,2016-01-07,0.13,0.0,416490,410361400,415009400,54450,55011,2016,코미디,15
149,114,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,0.193,0.0,278147,392627100,3294717700,53939,445699,2016,애니메이션,전체
150,114,포레스트: 죽음의 숲,2016-03-30,0.086,0.0,587764,391633862,391633862,50631,50631,2016,공포(호러),12
151,114,목숨 건 연애,2016-12-14,0.063,0.0,753080,361668800,361668800,47805,47805,2016,멜로/로맨스,15
152,114,머니 몬스터,2016-08-31,0.059,0.0,794687,367961600,367961600,47226,47226,2016,스릴러,15
153,114,트리플 9,2016-04-20,0.054,0.0,859684,365164300,365164300,47197,47197,2016,범죄,19
154,114,하드코어 헨리,2016-05-19,0.116,0.0,399127,399211211,399211211,46373,46373,2016,액션,19
155,114,블레어 위치,2016-11-23,0.093,0.0,494272,367484200,367484200,46285,46285,2016,공포(호러),15
156,114,미스 사이공 : 25주년 특별 공연,2016-11-24,0.178,0.0,258449,891218300,891218300,46080,46080,2016,공연,15
