,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,연도,상영횟수,개봉년도
45,46,GP 506,2008-04-03,6316842000,0.007,945185.0,355.0,한국,한국,(주)쇼박스,2008,,2008
46,47,오스트레일리아,2008-12-10,6112411000,0.007,944036.0,433.0,미국,미국,이십세기폭스코리아(주),2008,,2008
47,48,크로싱,2008-06-26,5657365667,0.006,907255.0,303.0,한국,"한국,중국,몽고",(주)벤티지홀딩스,2008,,2008
48,49,숙명,2008-03-20,5680873500,0.006,858215.0,341.0,한국,한국,CJ ENM,2008,,2008
49,50,예스맨,2008-12-17,5396937833,0.006,818482.0,244.0,미국,미국,워너브러더스 코리아(주),2008,,2008
50,51,스피드 레이서,2008-05-08,5219874500,0.006,804631.0,339.0,미국,미국,워너브러더스 코리아(주),2008,,2008
51,52,모던보이,2008-10-02,4971421000,0.005,758473.0,373.0,한국,한국,CJ ENM,2008,,2008
52,53,순정만화,2008-11-27,4674779333,0.005,730343.0,386.0,한국,한국,CJ ENM,2008,,2008
53,54,비스티 보이즈,2008-04-30,4785372500,0.005,727409.0,278.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
54,55,라스베가스에서만 생길 수 있는 일,2008-05-29,4604235334,0.005,704834.0,273.0,미국,미국,이십세기폭스코리아(주),2008,,2008
55,56,스위니 토드 : 어느 잔혹한 이발사 이야기,2008-01-17,4761820000,0.005,704058.0,246.0,미국,미국,워너브러더스 코리아(주),2008,,2008
56,57,천일의 스캔들,2008-03-20,4599546001,0.005,700095.0,131.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
57,58,님스 아일랜드,2008-07-17,4273735000,0.005,694728.0,266.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
58,59,스파이더위크가의 비밀,2008-02-14,4151259500,0.004,682525.0,172.0,미국,미국,CJ ENM,2008,,2008
59,60,울학교 이티,2008-09-11,4156170833,0.004,651439.0,298.0,한국,한국,에스케이텔레콤(주),2008,,2008
60,61,눈먼자들의 도시,2008-11-20,4356692000,0.005,645218.0,238.0,캐나다,"캐나다,일본,브라질",(주)싸이더스,2008,,2008
61,62,호튼,2008-04-30,3802813334,0.004,638598.0,336.0,미국,미국,이십세기폭스코리아(주),2008,,2008
62,63,다찌마와리,2008-08-14,4131701167,0.004,628508.0,299.0,한국,한국,(주)쇼박스,2008,,2008
63,65,뜨거운 것이 좋아,2008-01-17,3790235833,0.004,590409.0,256.0,한국,한국,(주)시네마서비스,2008,,2008
64,66,바디 오브 라이즈,2008-10-23,3811488333,0.004,584861.0,232.0,미국,미국,워너브러더스 코리아(주),2008,,2008
65,67,고고 70,2008-10-03,3795149333,0.004,581468.0,362.0,한국,한국,(주)쇼박스,2008,,2008
66,68,클로버필드,2008-01-24,3730650667,0.004,562764.0,281.0,미국,미국,CJ ENM,2008,,2008
67,69,슈퍼맨이었던 사나이,2008-01-31,3688309333,0.004,559705.0,388.0,한국,한국,CJ ENM,2008,,2008
68,70,뱅크 잡,2008-10-30,3578915667,0.004,553159.0,199.0,영국,영국,(주)싸이더스,2008,,2008
69,72,트럭,2008-09-25,3668218000,0.004,540485.0,257.0,한국,한국,(주)싸이더스,2008,,2008
70,73,미쓰 홍당무,2008-10-16,3563982000,0.004,532235.0,290.0,한국,한국,(주)벤티지홀딩스,2008,,2008
71,74,미스트,2008-01-10,3404297000,0.004,524572.0,197.0,미국,미국,"영화사청어람(주),(주)엠엔에프씨",2008,,2008
72,75,어웨이크,2008-03-27,3266005333,0.003,502807.0,216.0,미국,미국,(주)프라임엔터테인먼트,2008,,2008
73,76,쌍화점,2008-12-30,2904557014,0.003,450609.0,499.0,한국,한국,(주)쇼박스,2008,,2008
74,77,달콤한 거짓말,2008-12-18,2952188000,0.003,445980.0,339.0,한국,한국,CJ ENM,2008,,2008
75,78,아기와 나,2008-08-14,2667055000,0.003,435551.0,217.0,한국,한국,(주)프라임엔터테인먼트,2008,,2008
76,79,마법에 걸린 사랑,2008-01-10,2747631000,0.003,431376.0,247.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,,2008
77,80,기다리다 미쳐,2008-01-01,2725342667,0.003,422363.0,239.0,한국,한국,(주)시네마서비스,2008,,2008
78,81,헬보이 2 : 골든 아미,2008-09-25,2522851500,0.003,391513.0,279.0,미국,"미국,독일",유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
79,82,멋진 하루,2008-09-25,2552763666,0.003,390482.0,299.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
80,83,명장,2008-01-30,2559950500,0.003,385841.0,236.0,중국,중국,"롯데쇼핑㈜롯데엔터테인먼트,미디어소프트",2008,,2008
81,84,데스노트 L: 새로운 시작,2008-02-21,2174665500,0.002,358046.0,243.0,일본,일본,"(주)엔케이컨텐츠,(유)씨에이치엔터테인먼트",2008,,2008
82,85,해프닝,2008-06-12,2366614500,0.003,348772.0,244.0,미국,미국,이십세기폭스코리아(주),2008,,2008
83,86,P.S. 아이 러브 유,2008-01-03,2119345000,0.002,315863.0,196.0,미국,미국,(주)쇼박스,2008,,2008
84,87,극장판 도라에몽:진구의 마계대모험 7인의 마법사,2008-07-17,1903393500,0.002,315809.0,83.0,일본,일본,대원미디어(주),2008,,2008
85,88,엘라의 모험 : 해피엔딩의 위기,2008-01-24,1791623000,0.002,312640.0,191.0,독일,"독일,미국",(주)쇼박스,2008,,2008
86,89,CJ7:장강7호,2008-08-21,1955693500,0.002,312576.0,234.0,홍콩,홍콩,㈜스튜디오이쩜영,2008,,2008
87,91,에이리언 VS 프레데터2,2008-01-17,1869409000,0.002,291685.0,158.0,미국,미국,이십세기폭스필름코퍼레이션,2008,,2008
88,92,미드나잇 미트 트레인,2008-08-21,1965440000,0.002,290334.0,191.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
89,93,1724 기방난동사건,2008-12-03,1886002000,0.002,286629.0,337.0,한국,한국,(주)싸이더스,2008,,2008
90,94,88분,2008-05-29,1863411167,0.002,284619.0,199.0,미국,"미국,독일,캐나다",(주)프라임엔터테인먼트,2008,,2008
91,95,버킷 리스트:죽기전에 꼭 하고싶은것들,2008-04-09,1854707334,0.002,284360.0,56.0,미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2008,,2008
92,96,스트리트 킹,2008-04-17,1781772500,0.002,274628.0,242.0,미국,미국,이십세기폭스코리아(주),2008,,2008
93,98,마지막 선물,2008-02-05,1748517833,0.002,272890.0,263.0,한국,한국,(주)쇼박스,2008,,2008
94,99,가루지기,2008-04-30,1777787000,0.002,272648.0,311.0,한국,한국,(주)쇼박스,2008,,2008
95,100,스페이스 침스:우주선을 찾아서,2008-07-17,1568757000,0.002,269947.0,175.0,미국,미국,(주)성원아이컴,2008,,2008
96,101,마이 뉴 파트너,2008-03-06,1696902333,0.002,265323.0,220.0,한국,한국,(주)엠플러스픽쳐스,2008,,2008
97,102,맥스 페인,2008-11-20,1629486000,0.002,257808.0,155.0,미국,미국,이십세기폭스코리아(주),2008,,2008
98,103,걸스카우트,2008-06-05,1534585000,0.002,249114.0,257.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
99,104,노크:낯선 자들의 방문,2008-07-02,1571432000,0.002,248943.0,180.0,미국,미국,영화사청어람(주),2008,,2008
100,105,공작부인:세기의 스캔들,2008-10-16,1576695833,0.002,247373.0,195.0,미국,"미국,영국",(주)넥스트엔터테인먼트월드(NEW),2008,,2008
101,106,엑스파일:나는 믿고싶다,2008-08-13,1614196833,0.002,244338.0,237.0,미국,미국,이십세기폭스필름코퍼레이션,2008,,2008
102,107,27번의 결혼리허설,2008-03-06,1592159556,0.002,239674.0,220.0,미국,미국,이십세기폭스필름코퍼레이션,2008,,2008
103,108,바빌론 A.D.,2008-10-02,1483575500,0.002,227354.0,163.0,미국,미국,이십세기폭스코리아(주),2008,,2008
104,109,지구,2008-09-04,1351632500,0.001,216755.0,181.0,영국,"영국,독일",(주)엠플러스픽쳐스,2008,,2008
105,110,페넬로피,2008-05-15,1399298333,0.001,216703.0,148.0,미국,"미국,영국",CJ ENM,2008,,2008
106,111,라듸오 데이즈,2008-01-31,1405676000,0.001,214946.0,254.0,한국,한국,(주)싸이더스,2008,,2008
107,112,"대한이, 민국씨",2008-02-14,1192710500,0.001,212854.0,174.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
108,113,킬위드미,2008-04-17,1420604500,0.002,211740.0,209.0,미국,미국,(주)엠플러스픽쳐스,2008,,2008
109,114,어톤먼트,2008-02-21,1361527833,0.001,209673.0,132.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
110,115,연의 황후,2008-04-09,1283731833,0.001,199200.0,222.0,홍콩,홍콩,CJ ENM,2008,,2008
111,116,도레미파솔라시도,2008-04-03,1182401000,0.001,199151.0,167.0,한국,한국,(주)시네마서비스,2008,,2008
112,117,방콕 데인저러스,2008-09-11,1298743667,0.001,197747.0,183.0,미국,미국,(주)싸이더스,2008,,2008
113,118,미러,2008-09-18,1331646500,0.001,193815.0,204.0,미국,"미국,루마니아",이십세기폭스코리아(주),2008,,2008
114,120,커넥트,2008-11-20,1145569333,0.001,188807.0,202.0,홍콩,홍콩,에스케이텔레콤(주),2008,,2008
115,121,나의 특별한 사랑이야기,2008-04-09,1166701500,0.001,186234.0,142.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
116,122,플라이 미 투 더 문,2008-10-30,1167674000,0.001,184890.0,146.0,벨기에,벨기에,(주)시너지하우스 (시너지),2008,,2008
117,123,20세기 소년,2008-09-11,1139152167,0.001,181649.0,212.0,일본,일본,㈜메가박스,2008,,2008
118,124,댄 인 러브,2008-03-27,1151134167,0.001,179680.0,175.0,미국,미국,CJ ENM,2008,,2008
119,125,겟 스마트,2008-06-19,1152676500,0.001,176852.0,166.0,미국,미국,워너브러더스 코리아(주),2008,,2008
