순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,전국 매출액(만 단위)
4820,빛의 아버지: 파이널 판타지 XIV,"노구치 테루오,야마모토 키요시",,(주)엔케이컨텐츠,(주)디스테이션,2021-01-14,개봉영화,장편,일본,98,33411000,3569,14661600,1562,드라마,전체,독립/예술영화,2021,33411
4821,순천,이홍기,(주)리키필름,,(주)인디플러그,2014-09-04,개봉영화,장편,한국,5,22738200,3562,8774100,1156,다큐멘터리,전체,독립/예술영화,2014,22738
4822,스노우 화이트,앤 폰테인,,컴퍼니 엘론(주),(주)팝엔터테인먼트,2019-10-24,개봉영화,장편,프랑스,77,28614880,3554,20226560,2376,드라마,19,독립/예술영화,2019,28614
4823,더 시크릿,유발 애들러,,(주)퍼스트런,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021-01-21,개봉영화,장편,영국,72,24078370,3551,10939310,1657,스릴러,15,독립/예술영화,2021,24078
4824,천하칠검 양가장,우인태,,(주)포커스엔터테인먼트,(주)미디어데이,2013-05-02,개봉영화,장편,중국,5,24947500,3551,24947500,3551,드라마,15,일반영화,2013,24947
4825,카메론 포스트의 잘못된 교육,데지레 아카반,,"발진 인터네셔널,주식회사 더쿱",(주)팝엔터테인먼트,2020-06-04,개봉영화,장편,미국,108,31208020,3541,18353580,2063,드라마,15,독립/예술영화,2020,31208
4826,수성못,유지영,한국영화아카데미,,㈜인디스토리,2018-04-19,개봉영화,장편,한국,36,26185400,3539,11992800,1384,드라마,15,독립/예술영화,2018,26185
4827,가자! 장미여관으로 2 - 갈증,김봉은,드림로드,,(주)에이블엔터테인먼트,2014-04-10,개봉영화,장편,한국,20,14471000,3534,520000,104,멜로/로맨스,19,일반영화,2014,14471
4828,남극의 쉐프,오키타 슈이치,Parade,(주)스폰지이엔티,(주)스폰지이엔티,2010-02-11,개봉영화,장편,일본,1,25129544,3530,23407000,3201,코미디,전체,독립/예술영화,2010,25129
4829,더 캡틴,로베르트 슈벤트케,,(유)조이앤시네마,(주)드림팩트엔터테인먼트,2019-04-25,개봉영화,장편,프랑스,22,26337050,3525,18888550,2402,전쟁,15,독립/예술영화,2019,26337
4830,마샤와 곰: 최고 중에 최고,,,(주)나이너스엔터테인먼트,(주)팝엔터테인먼트,2020-10-08,개봉영화,장편,러시아,158,28394500,3525,4364300,513,애니메이션,전체,일반영화,2020,28394
4831,엔젤,프랑수아 오종,,(주)스폰지이엔티,(주)스폰지이엔티,2008-01-24,개봉영화,장편,벨기에,7,23473000,3525,19787000,2924,드라마,15,독립/예술영화,2008,23473
